sys.id,fields.title,fields.slug,fields.glossaryTerms
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k0000003lioCAA_en_US_3,YouTube Activation for IAS Measurement + FAQ,youtube-activation-faq,"Measured Ads
Measured Video Ads
Total Tracked Ads
Total Eligible Ads for Brand Safety
Measured Ads - Quality Attention Visibility
Unmeasured Ads"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k000000Vr3SCAS_en_US_3,"Optimization Tips - Viewability, IVT, and Brand Safety",optimization-tips,"Measured Ads - Viewability (Industry Std)
Measured Ads - Quality Attention Visibility
Total Eligible Ads for Brand Safety
Eligible Ads For Quality Impressions (when Quality criteria includes Viewability)
Eligible Ads For Quality Impressions™ (when Quality criteria includes Viewability)
Total Eligible Ads for Brand Safety - Brand Safety Risk Categories"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k0000003ljNCAQ_en_US_3,How to activate Spotify Integration,spotify-integration,"Total Visibility Tracked Ads
Measured Ads
Total Tracked Ads
Measured Video Ads
Measured Display Ads
Unmeasured Ads"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k000000oanRCAQ_en_US_3,Map and Pre-map your PMI Campaigns,map-pmi-to-ias,"Measured Ads
Total Tracked Ads - Campaign Monitoring
Measured Video Ads
Total Tracked Ads
Measured Ads - Quality Attention Visibility
Measured Display Ads"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/3m8m9xlM8HzQRjK0NLkIT0,Tagging Guide,tagging-guide,"Total Tracked Ads
Total Tracked Ads - Campaign Monitoring
Unmeasured Ads
Total Visibility Tracked Ads
Unmeasured Ads
Measured Ads"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k000000Vr38CAC_en_US_3,Context Control Segments Catalog User Guide,context-control-segments-catalog-user-guide,"Total Tracked Ads
% Adult Ads
Total Eligible Ads for Brand Safety
Fail Rate
Measured Ads
% Offensive Language Ads"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k0000003ljDCAQ_en_US_3,Proprietary Platforms Activation Guide,proprietary-platforms-activation,"Measured Ads
Total Eligible Ads for Brand Safety
Total Tracked Ads
Measured Display Ads
Measured Ads - Quality Attention Visibility
Measured Ads - Viewability (Industry Std)"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k000000oZHiCAM_en_US_3,Campaign Setup - Add Media Partner to Campaign,add-media-partner-to-campaign,"Total Eligible Ads for Brand Safety
Measured Ads
Total Tracked Ads
Passed Ads
Measured Ads - Quality Attention Visibility
Total Tracked Ads - Campaign Monitoring"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k000000oZF4CAM_en_US_3,Multimedia Tag Guide (FKA Publisher Exceptions),uvt-exceptions,"Measured Video Ads
Total Tracked Ads - CTV
Measured Ads
Unmeasured Ads
Measured Ads - Quality Attention Visibility
Measured Ads - Viewability (Industry Std)"
https://app.contentful.com/spaces/o1orzsgogjpz/environments/terms-migration/entries/kA03k000000VrEaCAK_en_US_3,Unified Video Pixel (UVP) FAQs  ,uvp-faq,"Measured Video Ads
Viewable First Quartile Impressions
Gross Eligible Impressions
Viewable Second Quartile Impressions
Net Viewable Impressions
Net Viewable Impressions"
